/node0/timestamp,/node0/temperature,/node0/humidity
1647370303.4655535,22.12,0.53
1647370308.6672235,22.15,0.52
1647370313.8692212,22.1,0.52
1647370319.0570788,22.1,0.52
1647370324.278292,22.09,0.53
1647370329.458366,22.09,0.52
1647370333.6266983,22.1,0.52
1647370338.8237042,22.1,0.52
1647370344.0303557,22.1,0.52
1647370349.2274847,22.1,0.52
1647370354.4158359,22.1,0.53
1647370358.5786662,22.09,0.53
1647370363.7887506,22.09,0.52
1647370368.9826152,22.09,0.52
1647370374.1921482,22.06,0.52
1647370379.3908253,22.05,0.53
1647370383.5520911,22.05,0.53
1647370388.7425442,22.04,0.53
1647370393.939804,22.04,0.53
1647370399.1351051,22.05,0.53
1647370404.3554273,22.04,0.53
1647370409.538224,22.04,0.53
1647370413.7042518,22.05,0.53
1647370418.9040213,22.02,0.53
1647370424.1004806,22.01,0.53
1647370429.2996967,22.02,0.53
1647370434.5010521,22.04,0.53
1647370439.6918156,22.04,0.53
1647370443.8780684,22.02,0.53
1647370449.0690217,21.99,0.53
1647370454.2630992,22.01,0.53
1647370459.470813,22.05,0.53
1647370464.661843,22.06,0.53
1647370468.824462,22.05,0.53
1647370474.0238495,22.05,0.53
1647370479.2171013,22.05,0.53
1647370484.4226687,22.05,0.53
1647370489.6252027,22.05,0.53
1647370493.7760444,22.05,0.53
1647370498.9836922,22.02,0.53
1647370504.182768,22.04,0.53
1647370509.3858628,22.01,0.53
1647370514.5747747,22.02,0.53
1647370519.7759867,21.99,0.53
1647370523.93913,21.99,0.53
1647370529.1292355,22.01,0.53
1647370534.3420389,22.01,0.53
1647370539.5406752,21.99,0.53
1647370544.7384338,21.97,0.53
1647370548.8904054,21.95,0.53
1647370554.0976574,21.97,0.53
1647370559.2995858,21.95,0.53
1647370564.5096068,21.97,0.53
1647370569.6921449,21.97,0.53
1647370574.90391,21.97,0.53
1647370579.0490708,21.92,0.53
1647370584.2640843,21.97,0.53
1647370589.464658,21.95,0.53
1647370594.648616,21.91,0.53
1647370599.8668265,21.92,0.53
1647370604.0167575,21.89,0.53
1647370609.2333093,21.88,0.53
1647370614.429461,21.81,0.53
1647370619.6232557,21.8,0.53
1647370624.8244567,21.78,0.53
1647370630.0271647,21.8,0.53
1647370634.1846619,21.77,0.53
1647370639.3784914,21.74,0.54
1647370644.576608,21.74,0.54
1647370649.790727,21.71,0.54
1647370655.000427,21.71,0.54
1647370659.1372888,21.71,0.54
1647370664.3377874,21.74,0.54
1647370669.5343108,21.74,0.53
1647370674.7409847,21.74,0.53
1647370679.9422638,21.75,0.53
1647370684.0894325,21.73,0.54
1647370689.2905204,21.74,0.54
1647370694.4991562,21.71,0.54
1647370699.7027445,21.73,0.53
1647370704.8984318,21.68,0.53
1647370710.0940723,21.68,0.54
1647370714.250655,21.67,0.54
1647370719.4645274,21.65,0.54
1647370724.649411,21.64,0.54
1647370729.8638902,21.6,0.54
1647370735.0575497,21.57,0.54
1647370739.230023,21.57,0.54
1647370744.4247935,21.56,0.54
1647370749.6234422,21.56,0.54
1647370754.811064,21.54,0.54
1647370760.020812,21.54,0.54
1647370765.219759,21.54,0.54
1647370769.3706565,21.58,0.54
1647370774.5834365,21.58,0.54
1647370779.774379,21.6,0.54
1647370784.9783616,21.56,0.54
1647370790.1789706,21.53,0.54
1647370794.353356,21.51,0.54
1647370799.5478268,21.51,0.54
1647370804.7325149,21.51,0.54
1647370809.9410915,21.5,0.54
1647370815.1403005,21.5,0.54
1647370820.3436377,21.49,0.54
1647370824.4916782,21.51,0.54
1647370829.697954,21.51,0.54
1647370834.9034984,21.5,0.54
1647370840.10353,21.5,0.54
1647370845.2988398,21.5,0.54
1647370849.4688082,21.49,0.54
1647370854.6748245,21.49,0.54
1647370859.8579829,21.47,0.54
1647370865.066817,21.49,0.54
1647370870.2602274,21.47,0.54
1647370875.4592693,21.5,0.54
1647370879.6264582,21.49,0.54
1647370884.8179703,21.51,0.54
1647370890.0087464,21.49,0.54
1647370895.2229621,21.46,0.54
1647370900.4251873,21.46,0.54
1647370904.5908961,21.46,0.54
1647370909.7850027,21.43,0.54
1647370914.972511,21.46,0.54
1647370920.1960397,21.43,0.54
1647370925.376586,21.43,0.54
1647370930.5843825,21.47,0.54
1647370934.7364147,21.46,0.54
1647370939.9437177,21.49,0.54
1647370945.1356652,21.46,0.54
1647370950.339837,21.45,0.54
1647370955.547579,21.47,0.54
1647370959.7172832,21.45,0.54
1647370964.9049718,21.42,0.54
1647370970.098044,21.42,0.54
1647370975.3013003,21.45,0.54
1647370980.4997954,21.42,0.54
1647370984.6567197,21.42,0.54
1647370989.8508549,21.42,0.55
1647370995.064533,21.42,0.54
1647371000.2609205,21.46,0.54
1647371005.4586911,21.43,0.54
1647371010.6526868,21.49,0.54
1647371014.8300393,21.49,0.54
1647371020.0141194,21.49,0.54
1647371025.2174418,21.49,0.54
1647371030.415006,21.49,0.54
1647371035.614737,21.47,0.54
1647371040.8181796,21.49,0.54
1647371044.9915931,21.49,0.54
1647371050.178118,21.47,0.54
1647371055.3684287,21.47,0.54
1647371060.588231,21.49,0.54
1647371065.7813337,21.5,0.54
1647371069.9536343,21.49,0.54
1647371075.1395566,21.47,0.54
1647371080.3448539,21.46,0.54
1647371085.5370355,21.45,0.54
1647371090.739805,21.45,0.54
1647371094.9001677,21.45,0.54
1647371100.102481,21.46,0.54
1647371105.2980828,21.45,0.54
1647371110.4933941,21.42,0.54
1647371115.691862,21.45,0.54
1647371120.8953688,21.43,0.54
1647371125.0742748,21.45,0.54
1647371130.2596102,21.49,0.54
1647371135.4612722,21.5,0.54
1647371140.6764386,21.5,0.54
1647371145.865876,21.47,0.54
1647371150.021974,21.49,0.54
1647371155.2179916,21.46,0.54
1647371160.4239337,21.47,0.54
1647371165.6185327,21.47,0.54
1647371170.810939,21.5,0.54
